route_id	substrate	substrate_label	corrected_ATP_auxiliary_equivalents_per_product_Cmol	corrected_NADH_auxiliary_equivalents_per_product_Cmol	corrected_NADPH_auxiliary_equivalents_per_product_Cmol	corrected_total_reducing_auxiliary_equivalents_per_product_Cmol	corrected_positive_auxiliary_cofactor_burden	cofactor_accounting_basis	stage
8dd3cbb73b17231f	methanol	Methanol	0.125	-0.416667	-1.333333	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
149bb128c46c1049	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
a3d3f447abffda81	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
e73d84a512db9c0d	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
8dcbd3d245403eaf	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
688929b17fb69e45	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
7612046b41cdd8a3	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
a9a92fb6566c8cb7	methanol	Methanol	0.125	-0.416667	-1.333333	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
6698c91d664b7c6b	methanol	Methanol	0.125	-0.416667	-1.333333	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
08fcdb7cf01c5a26	methanol	Methanol	0.125	-0.416667	-1.333333	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
00da2e189cad8ca7	methanol	Methanol	0.125	-0.416667	-1.333333	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
546774ab9cd70c8f	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
66fb89337681b430	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
9319f10e93ad88a4	methanol	Methanol	0.125	-0.75	-1.0	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
cbe37f721481270b	methanol	Methanol	0.125	-1.083333	-0.666667	-1.75	0.125	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
40e39ff496117f39	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
c7a08299d7829968	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
740aaa7994dd49d7	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
de9bc92613ac18d8	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
7122b918f7f2d914	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
fa153e21f16fc8b0	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b9573f49334781c6	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
5a0a6ead3b6e47c1	methanol	Methanol	0.25	-1.083333	-0.666667	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
b9bde66881f99c4e	methanol	Methanol	0.25	-1.75	0.0	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
390a56a94ac49c86	methanol	Methanol	0.25	-1.75	0.0	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
298b5d554af5cf94	methanol	Methanol	0.25	-1.75	0.0	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
2fa3ad48f9e2283e	methanol	Methanol	0.25	-1.75	0.0	-1.75	0.25	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
bd1e67720d5115ef	methanol	Methanol	0.0	-0.166667	-2.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
cfda6c4d9a54f1a0	methanol	Methanol	0.0	-0.166667	-2.333333	-2.5	0.0	non-CO2: pathway TSV ADD component + source-summary R_EX component	step_gt_20
