substrate	carbon_class	candidate_number	reaction_code	reaction_id	pathway_count	step_min	step_q1	step_median	step_mean	step_q3	step_max	single_reaction_pathway_count	single_reaction_step_median	le20_pathway_denominator	le20_occurrence_count	le20_occurrence_percent
co2	C4	11	11_KOR	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN	1089	7.0	31.0	41.0	43.26078971533517	54.0	81.0	9	37.0	296	48	16.216216216216218
co2	C2	12	12_ECH	RXN-13029	726	14.0	37.0	45.0	46.67493112947658	57.0	83.0	6	35.0	407	28	6.87960687960688
co2	C3	12	12_ECH	RXN-13029	847	18.0	27.0	31.0	36.7331759149941	46.0	80.0	7	27.0	598	27	4.51505016722408
co2	C4	12	12_ECH	RXN-13029	1089	19.0	37.0	44.0	47.825528007346186	58.0	85.0	9	36.0	296	8	2.7027027027027026
co2	C2	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	726	11.0	37.0	47.0	47.680440771349865	58.0	83.0	6	39.0	407	29	7.125307125307125
co2	C3	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	847	15.0	26.0	33.0	37.20661157024794	48.0	78.0	7	40.0	598	45	7.525083612040134
co2	C4	13	13_GCD	GLUTACONYL-COA-DECARBOXYLASE-RXN	1089	16.0	38.0	49.0	48.803489439853074	59.0	81.0	9	42.0	296	14	4.72972972972973
co2	C2	14	14_GCV	GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	726	9.0	29.0	35.0	35.36776859504132	42.0	79.0	6	19.0	407	59	14.496314496314497
co2	C3	14	14_GCV	GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	847	12.0	22.0	27.0	29.100354191263282	34.0	56.0	7	19.0	598	136	22.74247491638796
co2	C4	14	14_GCV	GCVMULTI-RXN-GLY/THF/NAD//METHYLENE-THF/AMMONIUM/CARBON-DIOXIDE/NADH.56.	1089	11.0	32.0	37.0	37.79522497704316	44.0	77.0	9	21.0	296	43	14.527027027027026
co2	C2	15	15_OFOR	2-OXOBUTYRATE-SYNTHASE-RXN	726	9.0	29.0	38.0	39.22727272727273	48.0	78.0	6	37.5	407	41	10.073710073710073
co2	C3	15	15_OFOR	2-OXOBUTYRATE-SYNTHASE-RXN	847	12.0	22.0	27.0	30.48051948051948	36.5	74.0	7	28.0	598	129	21.57190635451505
co2	C4	15	15_OFOR	2-OXOBUTYRATE-SYNTHASE-RXN	1089	10.0	32.0	40.0	41.38475665748393	51.0	78.0	9	39.0	296	37	12.5
co2	C2	16	16_GND	RXN-9952	726	18.0	36.0	41.0	43.15977961432507	47.0	83.0	6	25.5	407	4	0.9828009828009828
co2	C3	16	16_GND	RXN-9952	847	17.0	38.0	43.0	43.811097992916174	49.0	78.0	7	17.0	598	14	2.3411371237458196
co2	C4	16	16_GND	RXN-9952	1089	17.0	37.0	42.0	44.98347107438016	50.0	81.0	9	24.0	296	4	1.3513513513513513
formaldehyde	C2	1	01_FLS	FLS	5	9.0	11.0	16.0	15.0	18.0	21.0	5	16.0	48	4	8.333333333333334
formaldehyde	C3	1	01_FLS	FLS	5	4.0	6.0	6.0	7.2	7.0	13.0	5	6.0	42	5	11.904761904761905
formaldehyde	C4	1	01_FLS	FLS	8	10.0	12.75	14.5	16.25	21.25	23.0	8	14.5	40	5	12.5
formaldehyde	C2	2	02_RMP	R10-RXN	112	8.0	26.75	30.0	26.785714285714285	31.0	33.0	5	10.0	48	22	45.833333333333336
