substrate,substrate_label,product,product_label,normalized_target_carbon_atoms,product_class,class_order,product_order,retained_pathways,reachable
formate,Formate,CPD__45__335_c,(R)-3-HB,4,Organic/hydroxy-acid products,3,16,0,False
methanol,Methanol,CPD__45__335_c,(R)-3-HB,4,Organic/hydroxy-acid products,3,16,11,True
co2,CO₂,L__45__LACTATE_c,L-Lactate,3,Organic/hydroxy-acid products,3,17,41,True
formaldehyde,Formaldehyde,L__45__LACTATE_c,L-Lactate,3,Organic/hydroxy-acid products,3,17,4,True
formate,Formate,L__45__LACTATE_c,L-Lactate,3,Organic/hydroxy-acid products,3,17,2,True
methanol,Methanol,L__45__LACTATE_c,L-Lactate,3,Organic/hydroxy-acid products,3,17,10,True
co2,CO₂,GLYCOLLATE_c,Glycolate,2,Organic/hydroxy-acid products,3,23,26,True
formaldehyde,Formaldehyde,GLYCOLLATE_c,Glycolate,2,Organic/hydroxy-acid products,3,23,13,True
formate,Formate,GLYCOLLATE_c,Glycolate,2,Organic/hydroxy-acid products,3,23,0,False
methanol,Methanol,GLYCOLLATE_c,Glycolate,2,Organic/hydroxy-acid products,3,23,2,True
co2,CO₂,ETOH_c,Ethanol,2,Reduced/platform chemicals,4,14,29,True
formaldehyde,Formaldehyde,ETOH_c,Ethanol,2,Reduced/platform chemicals,4,14,4,True
formate,Formate,ETOH_c,Ethanol,2,Reduced/platform chemicals,4,14,2,True
methanol,Methanol,ETOH_c,Ethanol,2,Reduced/platform chemicals,4,14,7,True
co2,CO₂,BUTANOL_c,1-Butanol,4,Reduced/platform chemicals,4,15,11,True
formaldehyde,Formaldehyde,BUTANOL_c,1-Butanol,4,Reduced/platform chemicals,4,15,4,True
formate,Formate,BUTANOL_c,1-Butanol,4,Reduced/platform chemicals,4,15,0,False
methanol,Methanol,BUTANOL_c,1-Butanol,4,Reduced/platform chemicals,4,15,7,True
co2,CO₂,ACETOIN_c,Acetoin,4,Reduced/platform chemicals,4,19,34,True
formaldehyde,Formaldehyde,ACETOIN_c,Acetoin,4,Reduced/platform chemicals,4,19,4,True
formate,Formate,ACETOIN_c,Acetoin,4,Reduced/platform chemicals,4,19,1,True
methanol,Methanol,ACETOIN_c,Acetoin,4,Reduced/platform chemicals,4,19,9,True
co2,CO₂,CPD__45__12004_c,"meso-2,3-BDO",4,Reduced/platform chemicals,4,20,20,True
formaldehyde,Formaldehyde,CPD__45__12004_c,"meso-2,3-BDO",4,Reduced/platform chemicals,4,20,4,True
formate,Formate,CPD__45__12004_c,"meso-2,3-BDO",4,Reduced/platform chemicals,4,20,0,False
methanol,Methanol,CPD__45__12004_c,"meso-2,3-BDO",4,Reduced/platform chemicals,4,20,8,True
co2,CO₂,L__45__ALPHA__45__ALANINE_c,L-Alanine,3,Biosynthetic building blocks,5,18,4,True
formaldehyde,Formaldehyde,L__45__ALPHA__45__ALANINE_c,L-Alanine,3,Biosynthetic building blocks,5,18,0,False
formate,Formate,L__45__ALPHA__45__ALANINE_c,L-Alanine,3,Biosynthetic building blocks,5,18,0,False
methanol,Methanol,L__45__ALPHA__45__ALANINE_c,L-Alanine,3,Biosynthetic building blocks,5,18,0,False
co2,CO₂,GLY_c,Glycine,2,Biosynthetic building blocks,5,21,16,True
formaldehyde,Formaldehyde,GLY_c,Glycine,2,Biosynthetic building blocks,5,21,0,False
formate,Formate,GLY_c,Glycine,2,Biosynthetic building blocks,5,21,0,False
methanol,Methanol,GLY_c,Glycine,2,Biosynthetic building blocks,5,21,0,False
co2,CO₂,SER_c,L-Serine,3,Biosynthetic building blocks,5,22,2,True
formaldehyde,Formaldehyde,SER_c,L-Serine,3,Biosynthetic building blocks,5,22,0,False
formate,Formate,SER_c,L-Serine,3,Biosynthetic building blocks,5,22,0,False
methanol,Methanol,SER_c,L-Serine,3,Biosynthetic building blocks,5,22,0,False
co2,CO₂,L__45__ASPARTATE_c,L-Aspartate,4,Biosynthetic building blocks,5,24,5,True
formaldehyde,Formaldehyde,L__45__ASPARTATE_c,L-Aspartate,4,Biosynthetic building blocks,5,24,0,False
formate,Formate,L__45__ASPARTATE_c,L-Aspartate,4,Biosynthetic building blocks,5,24,0,False
methanol,Methanol,L__45__ASPARTATE_c,L-Aspartate,4,Biosynthetic building blocks,5,24,0,False
co2,CO₂,SHIKIMATE_c,Shikimate,7,Biosynthetic building blocks,5,25,1,True
formaldehyde,Formaldehyde,SHIKIMATE_c,Shikimate,7,Biosynthetic building blocks,5,25,2,True
formate,Formate,SHIKIMATE_c,Shikimate,7,Biosynthetic building blocks,5,25,0,False
methanol,Methanol,SHIKIMATE_c,Shikimate,7,Biosynthetic building blocks,5,25,7,True
