route_id,product,product_label,product_class,class_order,product_order,substrate,unified_step_count,mdf_kJ_per_mol
3fb0ffc8c24e5b34,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,20,10.433979150435183
5b8945d558647d45,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,9,13.144209246673343
5eeca5eefbcae851,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,20,10.433978654119228
d08b01ea2f9aee3d,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,8,8.670964691593426
d63ff41580649dbb,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,20,10.433979150435334
ff33da69f6ebd544,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formaldehyde,8,9.356606530500908
27d1be7222e07163,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formate,20,9.578732611329247
3c83345a7213d4a5,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formate,19,9.57873261113847
b09415bf13bfa895,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,formate,17,10.107876103443957
1eedcafba97a2428,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,15,4.059142777974968
3264209a672906f4,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,16,4.059142857954215
382a8010b76fe443,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,11,13.364945030692706
41ec73f4baa1b095,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,12,13.46729786926959
6f46a152ab370bfc,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,10,13.257526384831175
816acf856bc60719,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,10,13.25752640508054
8ddc22781fca7056,ACETYL__45__COA_c,Acetyl-CoA,Central metabolic hubs,0,1,methanol,11,13.364945025117423
